Chrmosome	Strand	Junction	/home/bio-longyk/STAR_TRIM/low-1/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/low-2/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/high-1/Aligned.sortedByCoord.out.bam	/home/bio-longyk/STAR_TRIM/high-2/Aligned.sortedByCoord.out.bam
chr10	+	103999313-103999867	91.7492748102372	51.9373268656055	35.1493054864119	80.3492678703315
chr10	+	103999948-104001444	89.5647682671364	59.63174566051	38.0784142769463	71.5304457870024
chr10	+	104001572-104002172	98.3027944395399	87.5240137920389	73.2277197633582	90.1479590740305
chr10	+	104003527-104005561	90.6570215386868	65.4025597566884	71.2749805696686	87.2083517129208
chr10	+	104005691-104005912	97.2105411679895	94.2566302375803	82.9914157318059	103.866126759209
chr10	+	104006035-104008177	110.317580426595	91.3712231894911	115.211612427684	135.221938611046
chr10	+	104008356-104010816	87.3802617240355	73.0969785515929	10.7400655652925	32.3356809722066
chr10	+	104008356-104018160	17.4760523448071	18.2742446378982	99.5896988781671	110.725210601798
chr10	+	104010908-104018160	133.254899129154	111.569072526115	20.5037615337403	32.3356809722066
chr10	+	104018289-104018784	172.57601690497	125.034305417198	124.975308396131	139.141415092525
chr10	+	104018908-104019734	102.671807525742	100.989246683122	72.2513501665134	79.3693987499616
chr10	+	104019922-104020488	154.007711288613	108.683665478026	101.542438071857	113.664817962908
chr10	+	104020613-104021620	171.48376363342	75.020583250319	108.37702524977	133.262200370306
chr10	+	104021733-104025574	185.683056163575	102.912851381848	120.093460411907	143.060891574005
chr11	+	62856381-62870745	928.415280817877	1058.94438664873	179.652005819439	208.712122638788
chr11	+	62856381-62871577	107.040820611943	145.232154753823	838.701483689662	798.593333101465
chr11	+	62856381-62881019	81.9189953662833	71.1733738528668	144.502700333027	125.423247407347
chr11	+	62870795-62871577	10.9225327155044	11.5416281923568	31.2438270990328	21.5571206481377
chr11	+	62870837-62871577	712.149133050889	827.150020452235	118.140721218218	184.21539462954
chr11	+	62871669-62876784	234.834453383345	266.419250773569	174.770157835215	170.497226944362
chr11	+	62871669-62876787	129.978139314503	118.301688971657	63.4640237949104	121.503770925867
chr11	+	62871669-62881019	420.517509546921	517.449663957329	537.003278264627	529.129324999744
chr11	+	62876879-62881019	396.487937572811	412.613207876755	247.021508001728	298.860081712818
chr11	+	62881056-62881183	16.3837990732567	28.8540704808919	41.9838926643254	41.1545030555356
chr11	+	62881447-62881893	1872.12210743746	2276.58616094237	3056.03683812415	2800.46594601716
chr11	+	62882066-62882667	3.27675981465133	4.80901174681532	26.3619791148089	14.6980368055484
chr11	+	62882066-62882908	2387.66565160927	2587.24831978664	3945.50954084974	3559.86451430383
chr11	+	62882807-62882908	4.36901308620177	4.80901174681532	14.6455439526716	20.5772515277678
chr11	+	62882999-62884457	2127.70937298026	2322.7526737118	3263.02719265524	3104.22537333183
chr11	+	62884525-62884632	2343.97552074725	2694.97018291531	3672.1260537332	3533.40804805385
chr11	+	62884690-62885177	2504.53675166517	2998.89972531404	4121.2560682818	3844.0265592111
chr11	+	62885357-62885465	2871.53385090612	3433.63438722614	4499.11110226073	4334.94098851642
chr11	+	62885608-62888135	1692.99257090319	1941.87894336403	2578.59210526705	2423.21633467475
chr11	+	62888218-62888331	1682.07003818768	2110.19435450256	2628.38695470614	2466.33057597103
chr11	+	35139370-35176575	2786.33809572518	2141.93383203154	1094.51031806299	1037.68139847172
chr11	+	35176740-35180274	2405.14170395408	2028.4411548067	1017.37711991226	988.687942453225
chr11	+	35176740-35221705	17.4760523448071	8.65622114426758	9.76369596844776	8.81882208332907
chr11	+	35180407-35186832	2525.28956382463	2105.38534275575	995.896988781671	1013.18467046247
chr11	+	35180407-35208137	138.716165486906	121.187096019746	20.5037615337403	24.4967280092474
chr11	+	35186900-35189835	2721.8951527037	2151.55185552518	1046.6682078176	1105.29236777724
chr11	+	35190065-35196746	467.48440022359	330.860008180894	63.4640237949104	73.4901840277422
chr11	+	35190065-35198121	1616.53484189466	1161.85723803058	241.16329042066	246.927018333214
chr11	+	35190065-35198145	64.4429430214762	49.0519198175163	8.78732637160298	6.85908384258927
chr11	+	35190065-35201082	192.236575792878	109.645467827389	12.6928047589821	17.6376441666581
chr11	+	35190065-35204512	119.055606598998	103.874653731211	24.4092399211194	23.5168588888775
chr11	+	35190065-35208105	354.982313253894	352.981462216245	33.1965662927224	76.4297913888519
chr11	+	35190065-35211246	4.36901308620177	0.961802349363065	19.5273919368955	32.3356809722066
chr11	+	35190065-35214852	185.683056163575	160.620992343632	800.623069412716	717.264196110764
chr11	+	35196874-35198121	384.473151585756	317.394775289811	82.9914157318059	68.5908384258927
chr11	+	35198246-35201082	1986.80870095026	1524.45672374046	306.58005340926	363.531443657232
chr11	+	35198246-35206112	56.7971701206231	42.3193033719748	2.92910879053433	2.93960736110969
chr11	+	35198246-35208105	258.864025357455	221.214540353505	18.5510223400507	26.4564662499872
chr11	+	35201195-35201668	1317.25744548983	973.343977555421	208.943093724782	267.504269860982
chr11	+	35201195-35201671	956.813865878188	667.490830457967	127.904417186666	134.242069490676
chr11	+	35201787-35204512	2018.48404582522	1417.69666296116	274.359856713382	341.974323009094
chr11	+	35201787-35208105	34.9521046896142	17.3124422885352	4.88184798422388	3.91947648147959
chr11	+	35204640-35206112	2189.96780945864	1483.09922271785	280.218074294451	315.517856759107
chr11	+	35204640-35206115	353.890059982344	231.794366196499	60.5349150043761	64.6713619444131
chr11	+	35206243-35208105	2735.00219196231	1868.78196481243	343.682098089361	455.639140972002
chr11	+	35208206-35209965	3425.30625958219	2707.47361345703	438.389948983304	536.968277962703
chr11	+	35208206-35211246	39.321117775816	25.0068610834397	0.976369596844776	5.87921472221938
chr11	+	35208206-35214852	33.8598514180637	18.2742446378982	2.92910879053433	2.93960736110969
chr11	+	35210054-35211246	3027.72606873783	2450.67238617709	411.051600271651	543.827361805292
chr11	+	35210054-35211264	45.8746374051186	41.3575010226118	4.88184798422388	5.87921472221938
chr11	+	35210054-35214852	69.9042093792284	77.9059902984082	2.92910879053433	10.7785603240689
chr11	+	35211449-35214852	3484.28793624591	2767.10535911754	511.617668746663	629.075975277473
chr11	+	35214914-35219316	3086.70774540155	2549.73802816148	1173.59625540742	1230.71561518459
chr11	+	35219387-35221654	3383.80063526327	2817.11908128442	1274.16232388243	1314.00449041603
chr11	+	35221732-35222375	40.4133710473664	35.5866869264334	5.85821758106866	1.95973824073979
chr11	+	35221732-35229129	3020.08029583698	2553.58523755894	1175.54899460111	1213.07797101793
